source_id,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,parallax,original_ext_source_id,j_m,ks_m
4.65529368474509E+018,15.793055,14.500979,17.414675,-0.107785443110324,05005862-6902079,12.563,11.257
4.65529378359479E+018,15.5296755,14.258499,16.583183,-0.47271083749808,05004282-6904351,12.6,11.483
4.65529389090349E+018,15.761647,14.406925,17.876408,0.005547003613305,05003678-6903417,12.346,11.036
4.65529516221439E+018,15.731515,14.459602,17.430128,0.068695398477048,05011440-6900267,12.472,11.263
4.65529536837277E+018,15.47827,14.210009,17.144745,-0.224571729392094,05010414-6858104,12.116,10.416
4.65529653660383E+018,15.53462,14.430191,16.698303,-0.025400814616693,05005855-6856065,12.789,11.566
4.65529663531902E+018,15.643074,14.401696,17.153341,-0.171733785850643,05005850-6855153,12.567,11.368
4.65529666978429E+018,15.174728,13.346022,17.742794,-0.036223163113821,05010330-6854257,11.048,9.355
4.65529674276221E+018,15.743597,14.5752535,17.010107,-0.061233140720282,05005211-6853520,12.888,11.709
4.65529722379608E+018,16.495478,15.100041,18.480957,-0.192052678769805,04593475-6911373,12.417,10.042
4.65529739559466E+018,15.388341,14.173746,16.925623,-0.05709683708814,04585502-6911186,12.397,10.685
4.65529822022828E+018,15.953044,14.567364,17.783058,-0.134914736811885,04583563-6910302,12.4,10.198
4.65529849510607E+018,16.240925,14.914894,17.786366,-0.1434228789896,04581361-6908557,12.977,11.784
4.65530014437361E+018,14.485431,13.210676,16.197388,0.07753541948094,04591629-6903185,11.233,10.004
4.65530141146602E+018,15.416952,14.1740265,16.982344,0.116248989368236,04584793-6858067,12.336,11.069
5.2788075216948E+018,15.725808,14.468892,17.251669,0.014631115095199,06292457-7024331,12.509,11.467
5.2788384454592E+018,15.185907,13.909297,17.058674,-0.094476892541061,06360383-7007433,11.95,10.715
5.27885033392875E+018,15.440356,14.377479,16.63064,-0.019608452971322,06383509-6954363,12.901,11.762
5.27885672484012E+018,15.277898,14.054673,16.88573,-0.065901139675668,06273998-7023226,12.245,10.528
5.27887486678198E+018,15.926731,14.835206,17.071215,0.063030523020368,06281846-7008537,13.331,12.3
5.27888084537621E+018,15.254206,14.13018,16.55683,-0.104348747260096,06320530-7001403,12.481,11.029
5.27888115461416E+018,15.4460745,14.235361,16.872032,-0.067169402094793,06315985-6959435,12.427,10.823
5.27888180744886E+018,15.523574,14.205289,17.43626,0.126575969450865,06313917-7000175,12.257,10.996
5.27889465799116E+018,16.189981,14.718962,18.618475,-0.131773457402367,06355673-6952440,12.105,10.948
